brandName,productName,categoryType,bodyParts,productFunction,babyProduct,eczemaProduct,country,productIngredient,productURL
CUREL,Intensive Moisture Care Foaming Wash 150ml,cleanser,eye,"cleansing, moisturizing, acne treatment, protecting, repairing",No,No,,"Water (Aqua), Glycerin, Maltitol, Propylene Glycol, PEG-150, Sodium Cocoyl Glutamate, Sodium Lauroyl Aspartate, Lauryl Hydroxysultaine, Polysorbate 60, Ethylhexylglycerin, Disodium EDTA, Dipotassium Glycyrrhizate, Potassium Hydroxide, Phenoxyethanol, Methylparaben",https://www.watsons.com.my/curel-intensive-moisture-care-foaming-wash-150ml/p/BP_56777
NUTOX,Youth Restoring Cleansing Foam 100ml (All Skin Types),cleanser,"face, arms","cleansing, moisturizing, repairing",No,No,,"Water (Aqua), Stearic Acid, Glycerin, Lauric Acid, Myristic Acid, Potassium Hydroxide, PEG-75, Cocamidopropyl Betaine, Glyceryl Stearate, PEG-100 Stearate, Cera Alba, PEG-7 Glyceryl Cocoate, Polysorbate 20, Propylene Glycol, Butylene Glycol, Swiftlet Nest Extract, Tremella Fuciformis (Mushroom) Extract, Propanediol, Evodia Rutaecarpa Fruit Extract, Tropaeolum Majus Flower/Leaf/Stem Extract, Fragrance, Phenoxyethanol, Ethylhexylglycerin, Tetrasodium EDTA.",https://www.watsons.com.my/nutox-youth-restoring-cleansing-foam-100ml-all-skin-types/p/BP_29962
LA ROCHE POSAY,Effaclar Foaming Purifying Gel 400ml,cleanser,face,"cleansing, moisturizing, rejuvenating, acne treatment, soothing, repairing",No,No,,"AQUA / WATER, SODIUM LAURETH SULFATE, PEG-8, COCO-BETAINE, HEXYLENE GLYCOL, SODIUM CHLORIDE, PEG-120 METHYL GLUCOSE DIOLEATE, ZINC PCA, SODIUM HYDROXIDE, CAPRYLYL GLYCOL, CITRIC ACID, SODIUM BENZOATE, PHENOXYETHANOL, PARFUM / FRAGRANCE",https://www.watsons.com.my/la-roche-posay-effaclar-foaming-purifying-gel-400ml/p/BP_95206
SAFI,Pembersih Muka Mentimun 100g,cleanser,face,"cleansing, moisturizing, acne treatment, repairing",No,No,,SAFI PBERSH MK S/M100GM,https://www.watsons.com.my/safi-pembersih-muka-mentimun-100g/p/BP_27469
CeraVe,SA Smoothing Cleanser 236ml,cleanser,"face, eye","cleansing, moisturizing, exfoliating, acne treatment, protecting, repairing",No,No,,"2021556 18 - INGREDIENTS: AQUA / WATER, SODIUM LAUROYL SARCOSINATE, COCAMIDOPROPYL HYDROXYSULTAINE, GLYCERIN, NIACINAMIDE, GLUCONOLACTONE, SODIUM METHYL COCOYL TAURATE, PEG-150 PENTAERYTHRITYL TETRASTEARATE, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, CARBOMER, CALCIUM GLUCONATE, SALICYLIC ACID, SODIUM BENZOATE, SODIUM LAUROYL LACTYLATE, CHOLESTEROL, PHENOXYETHANOL, DISODIUM EDTA, TETRASODIUM EDTA, HYDROLYZED HYALURONIC ACID, PHYTOSPHINGOSINE, XANTHAN GUM, ETHYLHEXYLGLYCERIN (CODE F.I.L D235671/1)",https://www.watsons.com.my/cerave-sa-smoothing-cleanser-236ml/p/BP_1015333
EUCERIN,PROACNE CLEANSING FOAM 150G,cleanser,"face, arms","cleansing, moisturizing, brightening, acne treatment, repairing",No,No,,"Aqua, Myristic Acid, Propylene Glycol, Palmitic Acid, Stearic Acid, Potassium Hydroxide, Glycerin, Lauric Acid, PEG-150, PEG-8, Glyceryl Stearate, Octadecenedioic Acid, Bisabolol, Cera Alba, Sodium Methyl Cocoyl Taurate, BHT, Arachidic Acid, Etidronic Acid, Disodium EDTA, Oleic Acid, Farnesol, Parfum",https://www.watsons.com.my/eucerin-proacne-cleansing-foam-150g/p/BP_45922
AIKEN,Vita-C Brightening Micellar Water 150ml,cleanser,eye,"cleansing, brightening, acne treatment, repairing, whitening",No,No,Japan,"Water, Propanediol, PEG-6 Caprylic/Capric Glycerides, PEG-7 Glyceryl Cocoate, Olive Oil PEG-7 Esters, Betaine, Sodium PCA, Glycerin, Disodium EDTA, Sodium Citrate, Xanthan Gum, Sodium Hyaluronate, Citric Acid, Salicylic Acid, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Dextrin, Polydextrose, Amylopectin, Niacinamide, Ascorbyl Glucoside, Phenoxyethanol, Chlorphenesin.",https://www.watsons.com.my/aiken-vita-c-brightening-micellar-water-150ml/p/BP_76012
GLAD2GLOW,Milk Amino Acids Brightening Cleanser 80g,cleanser,"face, hair, neck, arms, eye","cleansing, moisturizing, brightening, protecting, repairing",No,No,,"AQUA, POTASSIUM PALM KERNELATE, POTASSIUM COCOATE, POTASSIUM COCOYL GLYCINATE, SODIUM COCOYL GLYCINATE, LAURYL HYDROXYSULTAINE, MILK PROTEIN EXTRACT, GLYCOL DISTEARATE, NIACINAMIDE, ARGININE, CERAMIDE EOP, CERAMIDE NS, CERAMIDE NP, CERAMIDE AS, CERAMIDE AP, PROPYLENE GLYCOL, POTASSIUM PALMITATE, SODIUM METHYL LAUROYL TAURATE, SODIUM CHLORIDE, HYDROXYPROPYL METHYLCELLULOSE, POLYQUATERNIUM-43, POLYQUATERNIUM-7, STEARIC ACID, HYDROXYSTEARIC ACID, METHYLPARABEN, PROPYLPARABEN, SODIUM BENZOATE, AROMA",https://www.watsons.com.my/glad2glow-milk-amino-acids-brightening-cleanser-80g/p/BP_1004931
SAFI,Pembersih Muka Manggis 100g,cleanser,face,"cleansing, moisturizing, brightening, repairing",No,No,,SAFI PBERSH MK MANGGIS 100G,https://www.watsons.com.my/safi-pembersih-muka-manggis-100g/p/BP_96633
CETAPHIL,PRO Acne Prone Oil Control Foam Wash 236ml,cleanser,Not specified,"cleansing, acne treatment, repairing",No,No,,"Aqua, Zinc Coceth Sulfate, Glycerin, PEG-75, Amyl Cinnamal, Benzyl Benzoate, Citronellol, Dipotassium Glycyrrhizate, Disodium Edta, Geraniol, Hydroxycitronellal, Linalool, PEG-7 Glyceryl Cocoate, PEG-40 Hydrogenated Castor Oil, PEG-200 Hydrogenated Glycer",https://www.watsons.com.my/cetaphil-pro-acne-prone-oil-control-foam-wash-236ml/p/BP_40487
HADA LABO,Moisturizing Face Wash 100g,cleanser,"face, feet, eye","cleansing, moisturizing, acne treatment, repairing",No,No,,"Glycerin, Potassium Cocoyl Glycinate, Water, Propanediol, Citric Acid, Potassium Chloride, Glycol Distearate, Coconut Acid, Caprylic/Capric Glycerides Polyglycerin-10 Ester, Potassium Cocoate, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Chlorphenesin, Sodium Acetylated Hyaluronate, Phytic Acid, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, PCA, 1,2-Hexanediol, Phenoxyethanol, Moringa Pterygosperma Seed Extract, Glycine, Biosaccharide Gum-4, Alanine, Hydroxypropyltrimonium Hyaluronate, Serine, Disodium Phosphate, Valine, Threonine, Proline, Isoleucine, Phenylalanine, Histidine, Methylparaben",https://www.watsons.com.my/hada-labo-moisturizing-face-wash-100g/p/BP_73407
POLIDENT,Denture Adhesive Cream 2x60g,cleanser,Not specified,"cleansing, moisturizing, repairing, firming",No,No,,"Poly (Methylvinylether/Maleic acid) Sodium-Calcium Mixed Partial Salt, Petrolatum Blend, Cellulose Gum, Mineral Oil Light.",https://www.watsons.com.my/polident-denture-adhesive-cream-2x60g/p/BP_54902
SIMPLE,Kind to Skin Refreshing Facial Wash Gel 150ml,cleanser,face,"cleansing, moisturizing, acne treatment, repairing",No,No,,"Aqua, Cocamidopropyl Betaine, Propylene Glycol, Hydroxypropyl, Methylcellulose, Sodium Chloride, Panthenol, Disodium EDTA, Sodium Hydroxymethylglycinate, Sodium Hydroxide, Pantolactone, Citric Acid. Simple Skincare contains no animal derived ingredients.",https://www.watsons.com.my/simple-kind-to-skin-refreshing-facial-wash-gel-150ml/p/BP_23587
HADA LABO,Hydrating Cleansing Oil 200ml,cleanser,"face, eye","cleansing, moisturizing, nourishing, protecting, repairing",No,No,,"Ethylhexyl Palmitate, Sorbeth-30 Tetraisostearate, Olea Europaea (Olive) Fruit Oil, Water, PEG-20 Glyceryl Triisostearate, Caprylyl Methicone, Dextrin Palmitate/Ethylhexanoate, Caprylic/Capric Triglyceride, BHT, Macadamia Ternifolia Seed Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol, Benzotriazolyl Dodecyl P-Cresol, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Oil, Moringa Oil/Hydrogenated Moringa Oil Esters, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Methylparaben, Ascorbyl Dipalmitate",https://www.watsons.com.my/hada-labo-hydrating-cleansing-oil-200ml/p/BP_92894
SKINTIFIC,3X Acid Acne Gel Cleanser 120ml,cleanser,"face, eye","cleansing, moisturizing, acne treatment, soothing, repairing",No,No,,"AQUA, POTASSIUM COCOYL GLYCINATE, HYDROGENATED STARCH HYDROLYSATE, ACRYLATES/STEARETH-20 METHACRYLATE CROSSPOLYMER, POTASSIUM COCOATE, SODIUM LAUROAMPHOACETATE, LAURYL HYDROXYSULTAINE, PHENOXYETHANOL, ERYTHRITOL, BETAINE, CAPRYLYL GLYCOL, C12-13 ALKETH-9, PARFUM, POTASSIUM HYDROXIDE, SODIUM CHLORIDE, DISODIUM EDTA, GLYCOSYL TREHALOSE, DIPROPYLENE GLYCOL, QUATERNIUM-73, CARAMEL, HYDROXYACETOPHENONE, SALICYLIC ACID, ALLANTOIN, LACTOBIONIC ACID, LACTIC ACID, BUTYLENE GLYCOL, HYDROXYPROPYL CYCLODEXTRIN, CI 19140, CENTELLA ASIATICA EXTRACT, 1,2-HEXANEDIOL, CI 42100, ETHYLHEXYLGLYCERIN",https://www.watsons.com.my/skintific-3x-acid-acne-gel-cleanser-120ml/p/BP_1012504
AIKEN,Vita-C Brightening Cleanser 100G,cleanser,"face, neck","cleansing, brightening, acne treatment, repairing, whitening",No,No,Japan,"Water, PEG-8,Myristic Acid, Stearic Acid, Potassium Hydroxide, Palmitic Acid, Glycerin, Lauric Acid, Butylene Glycol, Glyceryl Stearate SE, Polyquaternium-7, Octadecyl Di-t-butyl-4-hydroxyhydrocinnamate, Tetrasodium EDTA, PEG-90M, Salicylic Acid, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Ascorbyl Glucoside, Fragrance, Phenoxyethanol.",https://www.watsons.com.my/aiken-vita-c-brightening-cleanser-100g/p/BP_72187
BIORE,Micellar Cleansing Water Moist Up 400ml,cleanser,face,"cleansing, moisturizing, brightening, repairing",No,No,Japan,"Water (Aqua), Dipropylene Glycol, PEG-12 Laurate, Butylene Glycol, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, PEG-8, PEG-6 Caprylic/Capric Glycerides, Sodium Citrate, Sodium Methyl Stearoyl Taurate, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, o-Cymen-5-ol",https://www.watsons.com.my/biore-micellar-cleansing-water-moist-up-400ml/p/BP_77527
LA ROCHE POSAY,Effaclar Foaming Gel Cleanser 200ml,cleanser,"face, arms","cleansing, moisturizing, rejuvenating, acne treatment, soothing, repairing",No,No,France,"AQUA / WATER • SODIUM LAURETH SULFATE • PEG-8 • COCO-BETAINE • HEXYLENE GLYCOL • SODIUM CHLORIDE • PEG-120 METHYL GLUCOSE DIOLEATE • ZINC PCA • SODIUM HYDROXIDE • CAPRYLYL GLYCOL • CITRIC ACID • SODIUM BENZOATE • PHENOXYETHANOL • PARFUM / FRAGRANCE

Please be aware that ingredient lists for the products of our brand are updated regularly. Please refer to the ingredient list on your
product package for the most up to date list of ingredients to ensure it is suitable to your personal use.
(For refilled products in the store, the most up to date list of ingredients should be obtained locally after refill of the product on the
point of sale).",https://www.watsons.com.my/la-roche-posay-effaclar-foaming-gel-cleanser-200ml/p/BP_49244
WARDAH,Crystal Secret Foaming Cleanser with AA+PHA 100ml ,cleanser,face,"cleansing, moisturizing, brightening, repairing, firming",No,No,Indonesia,"Aqua, Acrylates Copolymer, Sodium Laureth Sulfate, Sodium Lauroyl Sarcosinate, Cocamidopropyl Betaine, Potassium Cocoyl Glycinate, Lactic Acid, Panthenol, Propylene Glycol, Sodium Chloride, Fragrance, DMDM Hydantoin, Guar Hydroxypropyltrimonium Chloride, Glycolic Acid, Salicylic Acid, Disodium EDTA, Vaccinium Muryillus Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract.",https://www.watsons.com.my/wardah-crystal-secret-foaming-cleanser-with-aa-pha-100ml/p/BP_99814
SAFI,Naturals Strawberry Lemon Cleanser 100g,cleanser,"face, eye","cleansing, moisturizing, brightening, soothing, repairing",No,No,,"Water, Myristic Acid, Palmitic Acid, Glycerin, Potassium Hydroxide, Stearic Acid, Propylene Glycol, Potassium Cocoyl Glycinate, Cocamide Methyl MEA, Glyceryl Stearate, Tetrasodium EDTA, Nigella Sativa (Habbatus Sauda) Seed Oil, Lactic Acid, Fragaria Vesca (Strawberry) Fruit Extract, Solanum Lycopersicum (Tomato) Fruit/ Leaf/ Stem Extract, Citric Acid, Citrus Grandis (Grapefruit) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Malic Acid, Vaccinium Myrtillus (Bilberry) Fruit/ Leaf Extract, Xanthan Gum, Ascorbic Acid, Ethylhexylglycerin, Fragrance, Methylparaben, Prophylparaben, Phenoxyethanol, Sorbic Acid.",https://www.watsons.com.my/safi-naturals-strawberry-lemon-cleanser-100g/p/BP_57189
CUREL,Moisture Care Foaming Wash Refill 130ml,cleanser,"face, eye","cleansing, moisturizing, acne treatment, protecting, repairing",No,No,,"Water/Aqua, Glycerin, Maltitol, Propylene Glycol, PEG-150, Sodium Cocoyl Glutamate, Sodium Lauroyl Aspartate, Lauryl Hydroxysultaine, Polysorbate 60, Ethylhexylglycerin, Disodium EDTA, Dipotassium Glycyrrhizate, Potassium Hydroxide, Phenoxyethanol, Methylparaben",https://www.watsons.com.my/curel-moisture-care-foaming-wash-refill-130ml/p/BP_1002688
CeraVe,Hydrating Cleanser for Normal to Dry Skin 236ml,cleanser,"face, arms","cleansing, moisturizing, protecting, repairing",No,No,,"AQUA/WATER, GLYCERIN, CETEARYL ALCOHOL, PHENOXYETHANOL, STEARYL ALCOHOL, CETYL ALCOHOL, PEG-40 STEARATE, BEHENTRIMONIUM METHOSULFATE, GLYCERYL STEARATE, POLYSORBATE 20, ETHYLHEXYLGLYCERIN, POTASSIUM PHOSPHATE, DISODIUM EDTA,DIPOTASSIUM PHOSPHATE, SODIUM LAUROYL LACTYLATE, CERAMIDE NP,CERAMIDE AP, PHYTOSPHINGOSINE, CHOLESTEROL, SODIUM HYALURONATE, XANTHAN GUM, CARBOMER, TOCOPHEROL, CERAMIDE EOP. (Code F.I.L. D214629/3)",https://www.watsons.com.my/cerave-hydrating-cleanser-for-normal-to-dry-skin-236ml/p/BP_1004948
HADA LABO,Hada Labo Deep Clean & Blemish Control Face Wash,cleanser,face,"cleansing, moisturizing, acne treatment, repairing",No,No,,"Water,Butylene Glycol, Sodium Myristoyl Glutamate, Sorbitol, Sodium Methyl Cocyl Taurate,Sodium Lauroyl Glutamte, Cocomide DEA, Myristic Acid,Glyceryl Stearate, Sodium Chloride, Lauric Acid,PEG-40 Hydrogenated Castor Oil, Polyglyceryl-2 Isostearate, Polyquaternium-7, Methylparaben, Sodium Acetylated Hyaluronate, Hydroxypropyltrionium Hyaluronate.",https://www.watsons.com.my/hada-labo-hada-labo-deep-clean-blemish-control-face-wash/p/BP_18746
CETAPHIL,Gentle Skin Cleanser For Face & Body 500ml,cleanser,"face, body","cleansing, moisturizing, protecting, repairing",Yes,No,,CETAPHIL SKIN CLEANSER 500ML,https://www.watsons.com.my/cetaphil-gentle-skin-cleanser-for-face-body-500ml/p/BP_59380
SENKA,Perfect Whip 120g,cleanser,"face, eye","cleansing, moisturizing, repairing, firming",No,No,,"Water (Aqua)･Stearic Acid･Myristic Acid･Peg-8･Potassium Hydroxide･Lauric Acid･Glycerin･Dipropylene Glycol･Beeswax (Cera Alba)･Polyquaternium-7･Peg-90M･Charcoal Powder･Rosmarinus Officinalis (Rosemary) Leaf Oil (Rosmarinus Officinalis Leaf Oil)･Sodium Acetylated Hyaluronate･Sodium Hyaluronate･Sericin･Alcohol･Silica･Disodium Edta･Peg-20 Glyceryl Triisostearate･Aluminum Hydroxide･Talc･Sodium Metabisulfite･Sodium Metaphosphate･Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate･Bht･Citric Acid･Potassium Sorbate･Tocopherol･Sodium Benzoate･Fragrance (Parfum)･Titanium Dioxide (Ci 77891)･",https://www.watsons.com.my/senka-perfect-whip-120g/p/BP_1000055
CeraVe,Hydrating Cleanser for Normal to Dry Skin 473ml,cleanser,face,"cleansing, moisturizing, protecting, repairing",No,No,,"AQUA/WATER, GLYCERIN, CETEARYL ALCOHOL, PHENOXYETHANOL, STEARYL ALCOHOL, CETYL ALCOHOL, PEG-40 STEARATE, BEHENTRIMONIUM METHOSULFATE, GLYCERYL STEARATE, POLYSORBATE 20, ETHYLHEXYLGLYCERIN, POTASSIUM PHOSPHATE, DISODIUM EDTA,DIPOTASSIUM PHOSPHATE, SODIUM LAUROYL LACTYLATE, CERAMIDE NP,CERAMIDE AP, PHYTOSPHINGOSINE, CHOLESTEROL, SODIUM HYALURONATE, XANTHAN GUM, CARBOMER, TOCOPHEROL, CERAMIDE EOP. (Code F.I.L. D214629/3)",https://www.watsons.com.my/cerave-hydrating-cleanser-for-normal-to-dry-skin-473ml/p/BP_1004949
EUCERIN,Dermato Clean Refreshing Cleansing Gel 200ml,cleanser,face,"cleansing, moisturizing, repairing",No,No,,EUC DRMTO CLN REF CL GEL 200ML,https://www.watsons.com.my/eucerin-dermato-clean-refreshing-cleansing-gel-200ml/p/BP_92901
BIORE,Make Up Remover Cleasing Oil 150ml,cleanser,"face, body, eye","cleansing, moisturizing, repairing",No,No,Japan,"Mineral Oil, PEG-12 Laurate, Isododecane, Water, Isopropyl Palmitate, Cyclopentasiloxane, Polyglyceryl-2 Isostearate, Decyl Glucoside, Polysorbate 85, Glyceryl Oleate, Isostearic Acid, Isostearyl Glyceryl Pentaerythrityl Ether, Alcohol, BHT, Fragrance, Citric Acid, Tocopherol, Phosphoric Acid",https://www.watsons.com.my/biore-make-up-remover-cleasing-oil-150ml/p/BP_26493
CeraVe,Acne Blemish Control Cleanser 236ml,cleanser,"face, eye","cleansing, moisturizing, exfoliating, acne treatment, protecting, repairing",No,No,,"2051506 4 - Ingredients: WATER, SODIUM LAUROYL SARCOSINATE, COCAMIDOPROPYL HYDROXYSULTAINE, GLYCERIN, NIACINAMIDE, GLUCONOLACTONE, SODIUM METHYL COCOYL TAURATE, PEG 150 PENTAERYTHRITYL TETRASTEARATE, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, CARBOMER, CALCIUM GLUCONATE, TRIETHYL CITRATE, SODIUM BENZOATE, SODIUM HYDROXIDE, SODIUM LAUROYL LACTYLATE, CHOLESTEROL, TETRASODIUM EDTA, CAPRYLYL GLYCOL, HYDROLYZED HYALURONIC ACID, TRISODIUM ETHYLENEDIAMIN DISUCCINATE, XANTHAN GUM, HECTORITE, PHYTOSPHINGOSINE, BENZOIC ACID (Code F.I.L C274845/2)",https://www.watsons.com.my/cerave-acne-blemish-control-cleanser-236ml/p/BP_1019677
